NEIGHBORHOOD,crime_rank,facility_rank,steps_rank,park_rank,tree_rank,student_rank,rank_sum
CENTRAL NORTHSIDE,61.0,18.0,42.0,54.0,62.0,48.0,285.0
POLISH HILL,42.0,56.0,60.0,55.0,40.0,12.0,265.0
REGENT SQUARE,59.0,59.0,10.0,58.0,58.0,17.0,261.0
GREENFIELD,39.0,27.0,53.0,46.0,39.0,50.0,254.0
POINT BREEZE,55.0,39.0,11.0,59.0,47.0,26.0,237.0
SQUIRREL HILL SOUTH,52.0,50.0,7.0,45.0,54.0,20.0,228.0
MORNINGSIDE,44.0,61.0,34.0,1.0,45.0,41.0,226.0
BRIGHTON HEIGHTS,29.0,52.0,24.0,43.0,33.0,43.0,224.0
SOUTH SIDE SLOPES,27.0,55.0,62.0,48.0,12.0,19.0,223.0
BEDFORD DWELLINGS,5.0,62.0,48.0,1.0,42.0,60.0,218.0
BEECHVIEW,35.0,21.0,50.0,47.0,20.0,44.0,217.0
BROOKLINE,41.0,43.0,28.0,40.0,19.0,45.0,216.0
HIGHLAND PARK,45.0,60.0,17.0,1.0,60.0,32.0,215.0
EAST LIBERTY,8.0,26.0,3.0,62.0,59.0,54.0,212.0
GARFIELD,16.0,41.0,46.0,1.0,48.0,58.0,210.0
SHERADEN,25.0,34.0,37.0,50.0,14.0,49.0,209.0
MOUNT WASHINGTON,21.0,33.0,44.0,42.0,32.0,33.0,205.0
POINT BREEZE NORTH,30.0,14.0,5.0,60.0,55.0,40.0,204.0
PERRY NORTH,46.0,58.0,36.0,1.0,34.0,29.0,204.0
CRAWFORD-ROBERTS,7.0,51.0,31.0,1.0,57.0,55.0,202.0
HOMEWOOD NORTH,3.0,5.0,43.0,52.0,37.0,61.0,201.0
KNOXVILLE,4.0,53.0,26.0,1.0,49.0,62.0,195.0
TERRACE VILLAGE,33.0,42.0,20.0,1.0,31.0,59.0,186.0
LOWER LAWRENCEVILLE,43.0,57.0,23.0,1.0,44.0,13.0,181.0
UPPER HILL,23.0,35.0,57.0,1.0,27.0,38.0,181.0
CENTRAL OAKLAND,14.0,15.0,41.0,61.0,46.0,2.0,179.0
TROY HILL,31.0,36.0,58.0,1.0,25.0,27.0,178.0
ALLENTOWN,9.0,48.0,52.0,1.0,10.0,56.0,176.0
SQUIRREL HILL NORTH,56.0,30.0,14.0,1.0,52.0,22.0,175.0
SOUTH OAKLAND,38.0,19.0,30.0,56.0,23.0,9.0,175.0
ELLIOTT,34.0,54.0,55.0,1.0,6.0,25.0,175.0
NORTH OAKLAND,32.0,31.0,9.0,51.0,50.0,1.0,174.0
STANTON HEIGHTS,53.0,2.0,39.0,1.0,38.0,39.0,172.0
UPPER LAWRENCEVILLE,47.0,8.0,56.0,1.0,36.0,23.0,171.0
WESTWOOD,58.0,17.0,22.0,44.0,8.0,21.0,170.0
CALIFORNIA-KIRKBRIDE,18.0,23.0,59.0,1.0,21.0,47.0,169.0
MIDDLE HILL,11.0,12.0,49.0,1.0,43.0,52.0,168.0
EAST HILLS,12.0,29.0,33.0,1.0,35.0,57.0,167.0
BLOOMFIELD,20.0,40.0,15.0,1.0,56.0,34.0,166.0
MANCHESTER,15.0,49.0,2.0,1.0,61.0,37.0,165.0
LINCOLN-LEMINGTON-BELMAR,37.0,32.0,18.0,41.0,11.0,24.0,163.0
LARIMER,13.0,4.0,12.0,57.0,29.0,46.0,161.0
SPRING HILL-CITY VIEW,26.0,45.0,47.0,1.0,5.0,36.0,160.0
CARRICK,19.0,37.0,25.0,1.0,24.0,53.0,159.0
DUQUESNE HEIGHTS,51.0,11.0,35.0,49.0,3.0,6.0,155.0
BELTZHOOVER,40.0,46.0,29.0,1.0,7.0,30.0,153.0
PERRY SOUTH,24.0,13.0,54.0,1.0,18.0,42.0,152.0
SOUTH SIDE FLATS,6.0,28.0,6.0,53.0,53.0,5.0,151.0
CRAFTON HEIGHTS,36.0,1.0,32.0,1.0,26.0,51.0,147.0
SHADYSIDE,28.0,47.0,4.0,1.0,51.0,15.0,146.0
BANKSVILLE,54.0,38.0,19.0,1.0,22.0,11.0,145.0
HAZELWOOD,50.0,16.0,21.0,39.0,4.0,10.0,140.0
FINEVIEW,10.0,20.0,61.0,1.0,15.0,31.0,138.0
OVERBROOK,49.0,6.0,40.0,1.0,13.0,28.0,137.0
WEST OAKLAND,17.0,24.0,51.0,1.0,16.0,18.0,127.0
LINCOLN PLACE,57.0,25.0,16.0,1.0,9.0,16.0,124.0
MARSHALL-SHADELAND,22.0,7.0,38.0,1.0,17.0,35.0,120.0
EAST ALLEGHENY,1.0,9.0,45.0,1.0,41.0,14.0,111.0
BLUFF,2.0,44.0,27.0,1.0,28.0,8.0,110.0
CENTRAL LAWRENCEVILLE,48.0,10.0,8.0,1.0,30.0,7.0,104.0
OAKWOOD,60.0,22.0,13.0,1.0,2.0,4.0,102.0
WINDGAP,62.0,3.0,1.0,1.0,1.0,3.0,71.0
