SUMMARY,NEIGHBORHOOD
Public drunkenness,Bluff
Open Container,Golden Triangle/Civic Arena
Public drunkenness,South Side Flats
Public drunkenness,Beechview
Public drunkenness,South Side Flats
Public drunkenness,Brookline
Harassment,Overbrook
Spitting,East Liberty
Public drunkenness,South Side Flats
Public drunkenness,Beechview
Public drunkenness,East Allegheny
Open container,Golden Triangle/Civic Arena
Rabies vaccination,Brookline
Public drunkenness,Allegheny Center
Underage liquor,Central Oakland
Public drunkenness,Lower Lawrenceville
Public urination/defecation,Central Oakland
Obstructing passage,Golden Triangle/Civic Arena
Public drunkenness,Carrick
Criminal Mischief,South Side Flats
Harassment,Arlington
Scattering rubbish,Point Breeze
Excessive noise in residential area,Central Oakland
Public urination/defecation,Golden Triangle/Civic Arena
Scattering rubbish,Homewood South
Fighting in disorderly conduct,Northview Heights
Interference with duties,South Side Flats
Unreasonable noise disorderly conduct,Upper Lawrenceville
Fighting in disorderly conduct,South Side Flats
Public drunkenness,East Allegheny
Disorderly Conduct,Golden Triangle/Civic Arena
Interference with official duties,Squirrel Hill North
Cruelty to animals,Brookline
Public drunkenness,Hazelwood
Public drunkenness,South Side Flats
Public drunkenness,Golden Triangle/Civic Arena
Public drunkenness,Beechview
Rabies vaccination,Brookline
Actual Communication,Lincoln-Lemington-Belmar
Littering,Crawford-Roberts
Criminal Mischief,Friendship
Harassment,Carrick
Indecent public urination/defecation,Carrick
Public drunkenness,Carrick
Open Container,South Side Flats
Disorderly Conduct,Brookline
Public drunkenness,South Side Flats
Obscene lang/gest disorderly conduct,Glen Hazel
Disorderly conduct,South Side Flats
Public drunkenness,Squirrel Hill North
Disorderly conduct - unreasonable noise,Squirrel Hill North
Open Container,North Oakland
Public urination/defecation,South Side Flats
Fighting in disorderly conduct,Knoxville
Public drunkenness,East Allegheny
Loudspeaker noise limit,Central Oakland
Open Container,Carrick
Criminal Mischief,East Hills
Scattering rubbish,Central Oakland
Public drunkenness,Strip District
Loudspeaker noise limit,Central Oakland
Disorderly Conduct - Unreasonable Noise,North Oakland
Disorderly conduct (unreasonable noise),Hazelwood
Fighting in disorderly conduct,South Side Flats
Disorderly Conduct (Unreasonable Noise),North Oakland
Underage liquor,Central Oakland
Fighting disorderly conduct,Shadyside
Public drunkenness,Marshall-Shadeland
Disorderly Conduct,South Side Flats
Public drunkenness,Squirrel Hill North
Loudspeaker noise limits,Central Oakland
Underage liquor,Central Oakland
Loudspeaker noise limits,Central Oakland
Public drunkenness,Brookline
Underage liquor offense,Strip District
Fighting in disorderly conduct,East Hills
Public urination/defecation,South Side Flats
Public urination/defecation,South Side Flats
Actual Communication,Lincoln-Lemington-Belmar
Disorderly Conduct (Unreasonable Noise),Carrick
Public urination/defecation,South Side Flats
Fighting in disorderly conduct,Golden Triangle/Civic Arena
Loudspeaker volume limit,Central Oakland
Disorderly Conduct,Central Oakland
Criminal Mischief - Graffiti Damage,Carrick
Disorderly conduct - unreasonable noise,Squirrel Hill North
Criminal Mischief (Graffiti),Carrick
Fighting (disorderly conduct),Golden Triangle/Civic Arena
Alcohol on streets/sidewalks,South Side Flats
Fighting in disorderly conduct,Elliott
Disorderly conduct - Unreasonable noise,Squirrel Hill North
Indecent public urination/defecation,South Side Flats
Harassment,South Side Flats
Criminal Mischief,Homewood West
Obscene lang/gest disorderly conduct,East Liberty
Fighting (Disorderly Conduct),South Side Flats
Fighting in disorderly conduct,East Hills
Obscene lang/gest disorderly conduct,North Shore
Obscene Lang/Gest Disorderly Conduct,East Allegheny
Fighting in disorderly conduct,Elliott
