NEIGHBORHOOD,TOTAL_STUDENTS
ALLEGHENY CENTER,84
ALLENTOWN,289
ARLINGTON,186
ARLINGTON HEIGHTS,27
BANKSVILLE,180
BEDFORD DWELLINGS,220
BEECHVIEW,794
BELTZHOOVER,253
BLOOMFIELD,261
BLUFF,49
BON AIR,55
BRIGHTON HEIGHTS,598
BROOKLINE,1169
CALIFORNIA-KIRKBRIDE,125
CARRICK,1276
CENTRAL LAWRENCEVILLE,140
CENTRAL NORTHSIDE,150
CENTRAL OAKLAND,16
CHARTIERS CITY,35
CRAFTON HEIGHTS,539
CRAWFORD-ROBERTS,228
DUQUESNE HEIGHTS,78
EAST ALLEGHENY,72
EAST CARNEGIE,27
EAST HILLS,569
EAST LIBERTY,496
ELLIOTT,229
ESPLEN,26
FAIRYWOOD,95
FINEVIEW,88
FRIENDSHIP,52
GARFIELD,520
GLEN HAZEL,70
GOLDEN TRIANGLE,18
GREENFIELD,487
HAYS,40
HAZELWOOD,575
HIGHLAND PARK,412
HOMEWOOD NORTH,589
HOMEWOOD SOUTH,477
HOMEWOOD WEST,118
KNOXVILLE,616
LARIMER,256
LINCOLN PLACE,243
LINCOLN-LEMINGTON-BELMAR,508
LOWER LAWRENCEVILLE,84
MANCHESTER,110
MARSHALL-SHADELAND,467
MIDDLE HILL,228
MORNINGSIDE,179
MOUNT OLIVER,76
MOUNT OLIVER BOROUGH,476
MOUNT WASHINGTON,417
NEW HOMESTEAD,69
NORTH OAKLAND,11
NORTHVIEW HEIGHTS,527
OAKWOOD,75
OVERBROOK,272
PERRY NORTH,397
PERRY SOUTH,443
POINT BREEZE,317
POINT BREEZE NORTH,133
POLISH HILL,48
REGENT SQUARE,48
RIDGEMONT,20
SAINT CLAIR,25
SHADYSIDE,217
SHERADEN,694
SOUTH OAKLAND,77
SOUTH SIDE FLATS,112
SOUTH SIDE SLOPES,182
SPRING GARDEN,67
SPRING HILL-CITY VIEW,239
SQUIRREL HILL NORTH,333
SQUIRREL HILL SOUTH,679
STANTON HEIGHTS,332
SUMMER HILL,45
SWISSHELM PARK,56
TERRACE VILLAGE,401
TROY HILL,148
UPPER HILL,135
UPPER LAWRENCEVILLE,112
WEST END,28
WEST OAKLAND,54
WESTWOOD,269
WILKINSBURG BOROUGH,305
WINDGAP,110
