NEIGHBORHOOD,total_crimes,under_18,over_18
Allegheny Center,1238,91,1147
Allegheny West,129,0,129
Allentown,940,29,911
Arlington,311,16,295
Arlington Heights,155,1,154
Banksville,290,3,287
Bedford Dwellings,663,13,650
Beechview,1192,223,969
Beltzhoover,492,14,478
Bloomfield,979,27,952
Bluff,1493,9,1484
Bon Air,266,4,262
Brighton Heights,1111,108,1003
Brookline,1381,105,1276
California-Kirkbride,314,14,300
Carrick,2330,209,2121
Central Business District,4393,99,4294
Central Lawrenceville,430,13,417
Central North Side,849,15,834
Central Northside,23,0,23
Central Oakland,518,13,505
Chartiers City,46,1,45
Chateau,453,7,446
Crafton Heights,598,55,543
Crawford-Roberts,831,12,819
Duquesne Heights,191,1,190
East Allegheny,2211,26,2185
East Carnegie,47,2,45
East Hills,1190,49,1141
East Liberty,1870,173,1697
Elliott,661,30,631
Esplen,200,4,196
Fairywood,127,8,119
Fineview,795,14,781
Friendship,173,8,165
Garfield,720,35,685
Glen Hazel,169,5,164
Golden Triangle/Civic Arena,82,3,79
Greenfield,535,27,508
Hays,120,14,106
Hazelwood,1393,101,1292
Highland Park,555,29,526
Homewood North,1960,114,1846
Homewood South,2081,76,2005
Homewood West,758,199,559
Knoxville,1330,61,1269
Larimer,873,35,838
Lincoln Place,227,21,206
Lincoln-Lemington-Belmar,1360,45,1315
Lower Lawrenceville,270,19,251
Manchester,469,32,437
Marshall-Shadeland,1509,207,1302
Middle Hill,924,40,884
Morningside,188,5,183
Mount Oliver,123,58,65
Mount Washington,1432,39,1393
Mt. Oliver Boro,18,2,16
Mt. Oliver Neighborhood,2,1,1
New Homestead,39,1,38
North Oakland,451,15,436
North Shore,809,6,803
Northview Heights,710,50,660
Oakwood,82,2,80
Outside City,315,27,288
Outside County,57,6,51
Outside State,67,2,65
Overbrook,330,20,310
Perry North,575,172,403
Perry South,1053,116,937
Point Breeze,296,57,239
Point Breeze North,285,7,278
Polish Hill,165,5,160
Regent Square,37,3,34
Ridgemont,37,5,32
Shadyside,961,37,924
Sheraden,1280,133,1147
South Oakland,352,2,350
South Shore,299,4,295
South Side Flats,3456,55,3401
South Side Slopes,799,15,784
Spring Garden,219,6,213
Spring Hill-City View,709,45,664
Squirrel Hill North,289,18,271
Squirrel Hill South,802,128,674
St. Clair,55,3,52
Stanton Heights,221,8,213
Strip District,502,3,499
Summer Hill,76,0,76
Swisshelm Park,43,3,40
Terrace Village,297,8,289
Troy Hill,438,9,429
Troy Hill-Herrs Island,6,2,4
Upper Hill,366,66,300
Upper Lawrenceville,188,5,183
West End,290,6,284
West Oakland,324,4,320
Westwood,224,11,213
Windgap,124,12,112
