NEIGHBORHOOD,facility_count
Allegheny Center,4
Allegheny West,3
Allentown,3
Banksville,7
Bedford Dwellings,6
Beechview,6
Beltzhoover,7
Bloomfield,6
Bluff,3
Bon Air,1
Brighton Heights,14
Brookline,19
California-Kirkbride,1
Carrick,12
Central Business District,8
Central Lawrenceville,3
Central Northside,1
Central Oakland,1
Chateau,3
Crafton Heights,1
Crawford-Roberts,3
Duquesne Heights,2
East Allegheny,1
East Hills,3
East Liberty,3
Elliott,11
Fairywood,1
Fineview,1
Garfield,4
Glen Hazel,1
Greenfield,4
Hays,2
Hazelwood,14
Highland Park,30
Homewood North,1
Homewood South,3
Homewood West,6
Knoxville,4
Larimer,1
Lincoln Place,5
Lincoln-Lemington-Belmar,11
Lower Lawrenceville,7
Manchester,3
Marshall-Shadeland,3
Middle Hill,1
Morningside,10
Mount Washington,7
North Oakland,3
Oakwood,3
Overbrook,2
Perry North,20
Perry South,3
Point Breeze,8
Point Breeze North,1
Polish Hill,4
Regent Square,4
Shadyside,9
Sheraden,7
South Oakland,2
South Side Flats,5
South Side Slopes,11
Spring Hill-City View,6
Squirrel Hill North,7
Squirrel Hill South,29
Stanton Heights,1
Strip District,15
Swisshelm Park,1
Terrace Village,3
Troy Hill,3
Upper Hill,2
Upper Lawrenceville,1
West End,2
West Oakland,1
Westwood,4
Windgap,3
