NEIGHBORHOOD,Total_Length_With_Steps,Total_Steps,Length_per_Step,Zero_Steps_Total_Length
Allegheny Center,141.0,66.0,2.1363636363636362,0.0
Allentown,1540.0,546.0,2.8205128205128207,0.0
Arlington,1561.0,440.0,3.547727272727273,275.0
Banksville,1413.0,338.0,4.180473372781065,0.0
Bedford Dwellings,566.0,291.0,1.9450171821305842,0.0
Beechview,9242.0,2499.0,3.69827931172469,235.0
Beltzhoover,2007.0,456.0,4.401315789473684,115.0
Bloomfield,457.0,180.0,2.5388888888888888,0.0
Bluff,288.0,179.0,1.6089385474860336,0.0
Bon Air,382.0,75.0,5.093333333333334,0.0
Brighton Heights,1420.0,529.0,2.6843100189035916,0.0
Brookline,4558.0,1255.0,3.6318725099601594,226.0
California-Kirkbride,1740.0,744.0,2.338709677419355,0.0
Carrick,3324.0,839.0,3.961859356376639,224.0
Central Business District,292.0,106.0,2.7547169811320753,0.0
Central Lawrenceville,519.0,124.0,4.185483870967742,0.0
Central Northside,804.0,333.0,2.4144144144144146,0.0
Central Oakland,648.0,361.0,1.7950138504155124,0.0
Chartiers City,279.0,81.0,3.4444444444444446,0.0
Crafton Heights,2344.0,589.0,3.9796264855687604,0.0
Crawford-Roberts,573.0,197.0,2.9086294416243654,0.0
Duquesne Heights,3361.0,553.0,6.077757685352622,0.0
East Allegheny,1170.0,506.0,2.3122529644268774,0.0
East Carnegie,169.0,52.0,3.25,0.0
East Hills,1312.0,453.0,2.8962472406181017,0.0
East Liberty,40.0,18.0,2.2222222222222223,0.0
Elliott,3932.0,1719.0,2.2873763816172192,0.0
Esplen,445.0,48.0,9.270833333333334,0.0
Fineview,3995.0,1215.0,3.288065843621399,0.0
Garfield,1674.0,693.0,2.4155844155844157,0.0
Glen Hazel,127.0,108.0,1.1759259259259258,0.0
Greenfield,4576.0,1611.0,2.840471756672874,0.0
Hazelwood,4942.0,1374.0,3.596797671033479,0.0
Highland Park,1084.0,312.0,3.4743589743589745,0.0
Homewood North,1362.0,570.0,2.389473684210526,0.0
Knoxville,739.0,157.0,4.707006369426751,0.0
Larimer,165.0,93.0,1.7741935483870968,0.0
Lincoln Place,858.0,260.0,3.3,0.0
Lincoln-Lemington-Belmar,1215.0,563.0,2.158081705150977,0.0
Lower Lawrenceville,368.0,200.0,1.84,0.0
Manchester,14.0,8.0,1.75,0.0
Marshall-Shadeland,5376.0,1373.0,3.91551347414421,0.0
Middle Hill,1524.0,497.0,3.0663983903420524,0.0
Morningside,737.0,333.0,2.2132132132132134,0.0
Mount Oliver Borough,12.0,9.0,1.3333333333333333,0.0
Mount Washington,6020.0,1574.0,3.8246505717916137,211.0
Mt. Oliver,711.0,159.0,4.471698113207547,0.0
North Oakland,292.0,72.0,4.055555555555555,0.0
North Shore,96.0,63.0,1.5238095238095237,0.0
Oakwood,702.0,145.0,4.841379310344828,0.0
Overbrook,2602.0,1017.0,2.5585054080629304,0.0
Perry North,3121.0,1153.0,2.7068516912402427,0.0
Perry South,6929.0,1927.0,3.595744680851064,211.0
Point Breeze,773.0,186.0,4.155913978494624,0.0
Point Breeze North,25.0,16.0,1.5625,0.0
Polish Hill,2607.0,1094.0,2.382998171846435,0.0
Regent Square,215.0,35.0,6.142857142857143,0.0
Ridgemont,150.0,74.0,2.027027027027027,0.0
Shadyside,60.0,50.0,1.2,0.0
Sheraden,4416.0,1145.0,3.856768558951965,0.0
South Oakland,1463.0,361.0,4.052631578947368,0.0
South Side Flats,55.0,56.0,0.9821428571428571,0.0
South Side Slopes,13788.0,4773.0,2.8887492143306095,939.0
Spring Garden,1408.0,547.0,2.574040219378428,0.0
Spring Hill-City View,2161.0,1011.0,2.1374876360039563,0.0
Squirrel Hill North,612.0,300.0,2.04,0.0
Squirrel Hill South,1172.0,302.0,3.880794701986755,0.0
St. Clair,575.0,53.0,10.849056603773585,0.0
Stanton Heights,2139.0,867.0,2.4671280276816607,0.0
Strip District,154.0,65.0,2.3692307692307693,0.0
Terrace Village,322.0,124.0,2.596774193548387,0.0
Troy Hill,2647.0,1231.0,2.150284321689683,0.0
Upper Hill,2624.0,804.0,3.263681592039801,0.0
Upper Lawrenceville,2358.0,916.0,2.574235807860262,0.0
West End,338.0,127.0,2.661417322834646,0.0
West Oakland,281.0,376.0,0.7473404255319149,0.0
Westwood,1114.0,470.0,2.370212765957447,0.0
Windgap,25.0,16.0,1.5625,0.0
