NEIGHBORHOOD,tree_count
Allegheny Center,867
Allegheny West,386
Allentown,84
Arlington,107
Arlington Heights,5
Banksville,437
Bedford Dwellings,198
Beechview,611
Beltzhoover,170
Bloomfield,1436
Bluff,222
Bon Air,92
Brighton Heights,910
Brookline,853
California-Kirkbride,94
Carrick,772
Central Business District,1002
Central Lawrenceville,713
Central Northside,674
Central Oakland,368
Chartiers City,37
Chateau,276
Crafton Heights,368
Crawford-Roberts,568
Duquesne Heights,101
East Allegheny,391
East Carnegie,8
East Hills,483
East Liberty,1366
Elliott,171
Esplen,3
Fairywood,31
Fineview,90
Friendship,362
Garfield,626
Glen Hazel,2
Greenfield,745
Hays,1
Hazelwood,652
Highland Park,2941
Homewood North,403
Homewood South,459
Homewood West,92
Knoxville,432
Larimer,306
Lincoln Place,263
Lincoln-Lemington-Belmar,525
Lower Lawrenceville,508
Manchester,707
Marshall-Shadeland,488
Middle Hill,341
Morningside,461
Mount Washington,874
Mt. Oliver,13
New Homestead,183
North Oakland,775
North Shore,457
Northview Heights,6
Oakwood,92
Overbrook,275
Perry North,1007
Perry South,367
Point Breeze,1316
Point Breeze North,566
Polish Hill,271
Regent Square,434
Ridgemont,31
Shadyside,1558
Sheraden,392
South Oakland,234
South Shore,2
South Side Flats,1693
South Side Slopes,233
Spring Garden,55
Spring Hill-City View,114
Squirrel Hill North,2083
Squirrel Hill South,5073
St. Clair,12
Stanton Heights,700
Strip District,486
Summer Hill,79
Swisshelm Park,245
Terrace Village,261
Troy Hill,217
Upper Hill,179
Upper Lawrenceville,373
West End,131
West Oakland,78
Westwood,260
Windgap,117
